ID,Place_Name,type,City,Budget_Level,Age_Group,Trip_Type,Description,Latitude,Longitude,Coordinate_Source,Geocode_Status,Estimated_Cost_ILS,Place_Name_AR,Description_AR,Description_EN
124,Artughrul the 3rd School,Historic Old City,Jerusalem,Low,All,Cultural,Artughrul the 3rd School is a historic Islamic educational institution (madrasa) in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,15,مدرسة أرتغرل الثالث,مدرسة أرتغرل الثالث مؤسسة تعليمية إسلامية تاريخية (مدرسة) في البلدة القديمة بالقدس.,Artughrul the 3rd School is a historic Islamic educational institution (madrasa) in Jerusalem's Old City.
125,Mosque of Omar,Religious,Jerusalem,Medium,All,Religious,"The Mosque of Omar, near the Church of the Holy Sepulchre, commemorates the Caliph Omar Ibn al-Khattab's historic entry into Jerusalem in 637 CE.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,50,مسجد عمر,"يُخلّد مسجد عمر، قرب كنيسة القيامة، دخول الخليفة عمر بن الخطاب التاريخي إلى القدس عام 637م.","The Mosque of Omar, near the Church of the Holy Sepulchre, commemorates the Caliph Omar Ibn al-Khattab's historic entry into Jerusalem in 637 CE."
126,Waly Allah Sidi Mohammad Al Qirami,Religious,Jerusalem,Low,All,Religious,The shrine (waly) of Sidi Mohammad Al-Qirami is a historic Islamic sanctuary in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0,ولي الله سيدي محمد القيراطي,مقام (ولي) سيدي محمد القيراطي مزار إسلامي تاريخي في البلدة القديمة بالقدس.,The shrine (waly) of Sidi Mohammad Al-Qirami is a historic Islamic sanctuary in Jerusalem's Old City.
127,Nakshbandi sufi Order,Religious,Jerusalem,Low,All,Religious,The Naqshbandi Sufi Order maintains a historic religious presence and lodge within Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0,الطريقة النقشبندية الصوفية,تحافظ الطريقة النقشبندية الصوفية على حضور ديني وزاوية تاريخية داخل البلدة القديمة بالقدس.,The Naqshbandi Sufi Order maintains a historic religious presence and lodge within Jerusalem's Old City.
128,Al Jannat Mosque,Religious,Jerusalem,Medium,All,Religious,Al-Jannat Mosque is a historic mosque within Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,40,مسجد الجنة,مسجد الجنة مسجد تاريخي داخل البلدة القديمة بالقدس.,Al-Jannat Mosque is a historic mosque within Jerusalem's Old City.
129,Al Aqsa Mosque,Religious,Jerusalem,Medium,All,Religious,"Al-Aqsa Mosque, within the Haram al-Sharif compound in Jerusalem's Old City, is the third holiest site in Islam and a central place of worship and pilgrimage.",32.325605,35.025518,OpenStreetMap Photon,Matched,50,المسجد الأقصى,"المسجد الأقصى، داخل مجمع الحرم الشريف في البلدة القديمة بالقدس، ثالث أقدس موقع في الإسلام ومكان عبادة وحج مركزي.","Al-Aqsa Mosque, within the Haram al-Sharif compound in Jerusalem's Old City, is the third holiest site in Islam and a central place of worship and pilgrimage."
130,Maqam Rabaa Al Adawyah,Religious,Jerusalem,Low,All,Religious,Maqam Rabaa Al-Adawiyah is a shrine associated with the revered early Islamic mystic and poet Rabia al-Adawiyya.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0,مقام رابعة العدوية,مقام رابعة العدوية مزار مرتبط بالصوفية والشاعرة الإسلامية المبكرة المبجّلة رابعة العدوية.,Maqam Rabaa Al-Adawiyah is a shrine associated with the revered early Islamic mystic and poet Rabia al-Adawiyya.
131,Tomb of Scientist Al Sheikh Abdul Rahman Mojeer Iddin Alhanbali Al Alami grandson of Caliph Omar Ibn Alkhattab,Religious,Jerusalem,Medium,All,Religious,"This tomb in Jerusalem's Old City belongs to the scholar Sheikh Abdul Rahman Mujir al-Din al-Hanbali al-Alami, a noted 15th-century historian of Jerusalem and descendant of Caliph Omar Ibn al-Khattab.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,50,ضريح العالم الشيخ عبد الرحمن مجير الدين الحنبلي العلمي حفيد الخليفة عمر بن الخطاب,"يعود هذا الضريح في البلدة القديمة بالقدس للعالم الشيخ عبد الرحمن مجير الدين الحنبلي العلمي، المؤرخ البارز في القرن الخامس عشر لمدينة القدس وسليل الخليفة عمر بن الخطاب.","This tomb in Jerusalem's Old City belongs to the scholar Sheikh Abdul Rahman Mujir al-Din al-Hanbali al-Alami, a noted 15th-century historian of Jerusalem and descendant of Caliph Omar Ibn al-Khattab."
132,Maqam Bayram Gaweish and Library,Religious,Jerusalem,Medium,All,Religious,Maqam Bayram Gaweish and its associated library form a historic Islamic religious site in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,55,مقام بيرم جاويش والمكتبة,يشكّل مقام بيرم جاويش والمكتبة المرتبطة به موقعاً دينياً إسلامياً تاريخياً في البلدة القديمة بالقدس.,Maqam Bayram Gaweish and its associated library form a historic Islamic religious site in Jerusalem's Old City.
133,Al Madrasa Al Tankazyah,Religious,Jerusalem,Low,All,Religious,"Al-Madrasa Al-Tankaziyya is a Mamluk-era Islamic school in Jerusalem's Old City, founded by the governor Tankiz al-Nasiri in the 14th century.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0,المدرسة التنكزية,"المدرسة التنكزية مدرسة إسلامية من العصر المملوكي في البلدة القديمة بالقدس، أسسها الوالي تنكز الناصري في القرن الرابع عشر.","Al-Madrasa Al-Tankaziyya is a Mamluk-era Islamic school in Jerusalem's Old City, founded by the governor Tankiz al-Nasiri in the 14th century."
134,Maqam Ala'a Al Busairi,Religious,Jerusalem,Low,All,Religious,"Maqam Ala'a Al-Busairi is a shrine associated with the Islamic scholar and poet Al-Busiri, known for his famous poem in praise of the Prophet Muhammad.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0,مقام علاء البوصيري,"مقام علاء البوصيري مزار مرتبط بالعالم والشاعر الإسلامي البوصيري، المعروف بقصيدته الشهيرة في مدح النبي محمد.","Maqam Ala'a Al-Busairi is a shrine associated with the Islamic scholar and poet Al-Busiri, known for his famous poem in praise of the Prophet Muhammad."
135,Maqam Tankaz,Religious,Jerusalem,Low,All,Religious,Maqam Tankaz is a historic shrine associated with the Mamluk governor Tankiz al-Nasiri in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0,مقام تنكز,مقام تنكز مزار تاريخي مرتبط بالوالي المملوكي تنكز الناصري في البلدة القديمة بالقدس.,Maqam Tankaz is a historic shrine associated with the Mamluk governor Tankiz al-Nasiri in Jerusalem's Old City.
136,Sheikh Makky Mosque,Religious,Jerusalem,Medium,All,Religious,Sheikh Makky Mosque is a historic mosque within Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,50,مسجد الشيخ مكي,مسجد الشيخ مكي مسجد تاريخي داخل البلدة القديمة بالقدس.,Sheikh Makky Mosque is a historic mosque within Jerusalem's Old City.
137,Khan Tankaz,Historic Old City,Jerusalem,Low,All,Cultural,"Khan Tankaz is a Mamluk-era caravanserai (khan) in Jerusalem's Old City, built under the patronage of governor Tankiz al-Nasiri.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,5,خان تنكز,"خان تنكز خان من العصر المملوكي في البلدة القديمة بالقدس، بُني برعاية الوالي تنكز الناصري.","Khan Tankaz is a Mamluk-era caravanserai (khan) in Jerusalem's Old City, built under the patronage of governor Tankiz al-Nasiri."
138,Al Ghawanema sufi Order,Religious,Jerusalem,Low,All,Religious,The Al-Ghawanema Sufi Order maintains a historic religious presence near the northern gate of the Al-Aqsa Mosque compound bearing the same name.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0,الطريقة الغوانمة الصوفية,تحافظ الطريقة الغوانمة الصوفية على حضور ديني تاريخي قرب البوابة الشمالية للمسجد الأقصى التي تحمل الاسم نفسه.,The Al-Ghawanema Sufi Order maintains a historic religious presence near the northern gate of the Al-Aqsa Mosque compound bearing the same name.
139,The Islamic Supreme Committee/ Al Tashtamutya School,Historic Old City,Jerusalem,Low,All,Cultural,The Islamic Supreme Committee / Al-Tashtamuriyya School is a historic Mamluk-era Islamic institution in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,5,اللجنة الإسلامية العليا / المدرسة التشتمرية,اللجنة الإسلامية العليا / المدرسة التشتمرية مؤسسة إسلامية تاريخية من العصر المملوكي في البلدة القديمة بالقدس.,The Islamic Supreme Committee / Al-Tashtamuriyya School is a historic Mamluk-era Islamic institution in Jerusalem's Old City.
140,Industrial Islamic Orphanage School,Historic Old City,Jerusalem,Low,All,Cultural,The Industrial Islamic Orphanage School is a historic educational institution in Jerusalem's Old City that combined religious education with vocational training.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,10,مدرسة الأيتام الإسلامية الصناعية,مدرسة الأيتام الإسلامية الصناعية مؤسسة تعليمية تاريخية في البلدة القديمة بالقدس جمعت بين التعليم الديني والتدريب المهني.,The Industrial Islamic Orphanage School is a historic educational institution in Jerusalem's Old City that combined religious education with vocational training.
141,Indian Hospice,Religious,Jerusalem,Low,All,Religious,"The Indian Hospice, in Jerusalem's Old City, is a historic guesthouse for Muslim pilgrims, especially from South Asia, run under a Sufi endowment since the 16th century.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0,التكية الهندية,"التكية الهندية في البلدة القديمة بالقدس دار ضيافة تاريخية للحجاج المسلمين، خاصة من جنوب آسيا، وتُدار تحت وقف صوفي منذ القرن السادس عشر.","The Indian Hospice, in Jerusalem's Old City, is a historic guesthouse for Muslim pilgrims, especially from South Asia, run under a Sufi endowment since the 16th century."
142,Sittunshu Palace,Historic Old City,Jerusalem,Medium,Family,Cultural,Sittunshu Palace is a historic residence in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,40,قصر ست تنشق,قصر ست تنشق مسكن تاريخي في البلدة القديمة بالقدس.,Sittunshu Palace is a historic residence in Jerusalem's Old City.
